客户描述记录,用途,其他字段
这是一块用经编工艺织造的轻薄褶皱醋酸面料，虽然醋酸成分高达83%，但是价格却只要20多，除此之外，真丝的光泽加上飘逸的垂感，用在夏季，是非常理想的一块爆款面料。,"小衫,裙类","('A1016', '醋酸83% 锦纶17%', '145CM', '70GSM', 21.0, nan, '经编醋酸绉', '若臻丝™', '真丝调')"
在人们的传统印象中，醋酸的面料的一个是贵，一个是过于正式，但是这块面料超乎常规，100%的醋酸含量只有30不到的价格，而且在生产过程中采用了皱处理，使得面料不仅具有丝质的光泽，而且具备了额外的休闲感。,"小衫,裙类,套装","('A6801', '醋酸100%', '145CM', '140GSM', 27.0, nan, '140G全醋皱缎', '若臻丝™', '真丝调')"
斜纹一直是面料的经典纹路，不仅能够让面料具备辨识度，也能够让成衣更加具有挺阔度，这块面料在这样的组织纹路下，同时用了100%的进口Naia醋酸材料进行织造，同时有通过皱处理，使得面料的辨识度进一步提升。,"套装,裙类,外套","('A6808', '醋酸100%', '146CM', '200GSM', 42.0, nan, '200G全醋皱缎', '若臻丝™', '真丝调')"
醋酸的触肤感是所有纤维素材料中首屈一指的，不仅有很好的亲肤性能，同时它的吸湿性也是很不错的，如果我们想要保持醋酸的亲肤性，又想在表面体现醋酸的真丝质感，我们必须设计一块合适的面料，也就是双面缎，来同时完成这两方面的需求。,"小衫,裙类","('A8905', '醋酸86% 聚酯14%', '145CM', '140GSM', 52.0, nan, '140G双面缎', '若臻丝™', '真丝调')"
醋酸是一种比较柔软的纤维材质，具备很好的亲肤性能，但是如果我们想要做一些稍微具有挺阔性能的款式，100%醋酸含量的面料，可能就会有点不合适，所以我们就用醋酸和涤纶的相结合，同时具备真丝光泽和涤纶的挺阔度。,"套装,裙类","('A8907', '醋酸75% 聚酯25%', '145CM', '230GSM', 45.5, nan, '75/25醋涤缎', '若臻丝™', '真丝调')"
醋酸是一种比较柔软的纤维材质，具备很好的亲肤性能，但是如果我们想要做一些稍微具有挺阔性能的款式，100%醋酸含量的面料，可能就会有点不合适，所以我们就用醋酸和涤纶的相结合，同时具备真丝光泽和涤纶的挺阔度。进一步，我们把醋酸比例调低，涤纶比例调高，产品的性价比又上去了。,"套装,裙类","('A8907-77', '醋酸50% 聚酯50%', '145CM', '230GSM', 38.0, nan, '50/50醋涤缎', '若臻丝™', '真丝调')"
这是一款具有强捻真丝质感的面料，原先以为是一块涤纶仿真丝的面料，看到材质后才发现是铜氨加人丝的面料，突破了对传统铜氨面料质感的限制，同时布面的皱风格也十分适合做一些休闲的小衫款式。,小衫,"('A1126', '铜氨42% 人丝58%', '125CM', '70GSM', 45.0, nan, '50D铜氨顺纡绉', '若臻丝™', '真丝调')"
乱麻组织一直是醋酸面料应用的除去缎面组织外的经典组织，不仅具备强捻真丝的干爽质感，同时可以适应多场景款式的开发，通勤场景、休闲场景统统拿捏。,"小衫,裙类","('A8909', '醋酸69% 聚酯31%', '148CM', '115GSM', 38.0, nan, '醋酸斜纹乔其', '若臻丝™', '真丝调')"
醋酸加人棉的配比很少见，但是这两个放在一起后，竟然能够在醋酸面料上感受到蛋白质纤维的质感，手感变得更加的亲肤柔软，用来开发春夏的连衣裙是一块非常不错的面料。,"小衫,裙类","('A8912', '醋酸68% 人棉32%', '150CM', '135GSM', 42.0, nan, '135G醋经缎', '若臻丝™', '真丝调')"
醋酸加人棉的配比很少见，但是这两个放在一起后，竟然能够在醋酸面料上感受到蛋白质纤维的质感，手感变得更加的亲肤柔软，用来开发春夏的连衣裙是一块非常不错的面料。185的克重可以往秋季去开发。,"小衫,裙类","('A8913', '醋酸54% 人棉46%', '150CM', '185GSM', 40.0, nan, '185G醋经缎', '若臻丝™', '真丝调')"
本材料由铜氨26% 锦纶34% 莫代尔40%构成，适合制作小衫和裙类.,"小衫,裙类","('A1123', '铜氨26% 锦纶34% 莫代尔40%', '150CM', '105GSM', 39.0, nan, '锦纶铜氨莫代尔', '若臻丝™', '真丝调')"
不同于一般的基本组织，这块面料用了类似于小提花的工艺去做，是经典的麦穗组织在醋酸面料上体现出来，手感干爽，垂顺。,"西装,套装,外套","('YG20-25066', '醋酸65% 聚酯35%', '148CM', '135GSM', 45.0, nan, '醋酸麦穗乔其', '若臻丝™', '真丝调')"
布面犹如青烟笼罩中的的山峦轮廓，立体层次，神秘而悠远，拥有出色的悬垂性和柔韧性，垂坠挺括，线条优美流畅。奢华光泽与错落纹理相互映衬，轻松打造出优雅高贵的晚宴风格。,"套装,裙类,外套","('YG20-25133', '醋酸100%', '148CM', '180GSM', 48.5, nan, '纯醋亮条骑兵斜', '若臻丝™', '真丝调')"
专研整理工艺，极近桑蚕丝的细密柔软质感，绒感独特，光泽温润如月光倾洒，轻抚丝滑触感似清晨薄雾；贴身舒适，仿佛与肌肤亲密对话，随风轻摆，灵动飘逸。,"小衫,裙类","('A1032', '醋酸85% 聚酯15%', '150CM', '130GSM', 52.0, nan, '丝感醋酸薄缎', '若臻丝™', '真丝调')"
醋酸本身就具备桑蚕丝的光泽，但是整体还缺乏桑蚕丝这种蛋白质纤维的质感。但桑蚕丝的含量一高，面料的价格就会很贵，所以把两者结合在一起，就能够具备非常好的效果。,"小衫,裙类","('A9021', '70%醋酸21%桑蚕丝9%聚酯', '137CM', '55GSM', 57.5, nan, '桑蚕丝醋酸薄纱', '若臻丝™', '真丝调')"
莫代尔是纤维素材料中非常舒适的一种材料，能够拥有蛋白质纤维的触肤感，加上人丝和桑蚕丝两种丝质感的纤维，出来的面料柔软亲肤，宛如全真丝感觉。,"小衫,裙类","('A9023', '57.4%莫代尔28%人丝14.6%桑蚕丝', '144CM', '84GSM', 59.5, nan, '缎面莫代尔桑蚕丝', '若臻丝™', '真丝调')"
本材料由79%纤维素纤维和21%桑蚕丝构成，适合制作小衫和裙类。,"小衫,裙类","('A9025', '79%纤维素纤维21%桑蚕丝', '143CM', '60GSM', 57.0, nan, '真丝纤维素平纹', '若臻丝™', '真丝调')"
醋酸和天丝这两组最经典的纤维素材料放一起，舒适性肯定不用说，天然感也是很特别的一个存在，加上斜纹组织的加持，做一些春夏的廓形衬衫是不二的选择。,"小衫,裙类","('A9026', '67%醋酸33%天丝', '149CM', '130GSM', 47.5, nan, '细斜纹天丝醋', '若臻丝™', '真丝调')"
本材料由醋酸45%和聚酯55%构成，适合制作小衫和裙类。,"小衫,裙类","('YG-D11007', '醋酸45% 聚酯55%', '125CM', '160GSM', 41.0, nan, '醋酸竖条泡泡缎', '若臻丝™', '真丝调')"
多组醋酸纱线精心组合，特殊经二重组织织造，匠心独具，双面构造，缎面细腻柔滑，麻感别具一格，风格别致。吸湿透气，兼具出色的垂坠和抗皱，不易起皱，久穿耐用。,"小衫,裙类","('A8906', '醋酸76% 聚酯24%', '148CM', '145GSM', 52.0, nan, '160G单面麻', '若芷麻™', '麻调')"
光泽含蓄，如同静谧雪地上反射的月光，内敛而优雅；仿若天然大理石细砂肌理，甩除油感，手感干爽不黏；挺括有型，能够很好地保持衣物的形状，彰显利落与干练；无论是精致职场亦或是简约休闲，都能随心切入。,"西装,套装","('A8910', '醋酸68% 聚酯32%', '148CM', '230GSM', 55.0, nan, '230g醋酸双乔斜纹', '若芷麻™', '麻调')"
纤维素人造长丝交织竹节麻纱，以原料诠释绿色天然理念；细密双条斜纹规整排布，风格别致且具有韵律感；独特的麻竹节风格，使轻盈时尚之中增添一份休闲雅致；贴身舒适，时刻保持干爽，仿佛置身于山间的凉爽微风。,"西装,套装","('YG-D11087', '人丝57% 粘胶27% 亚麻16%', '148CM', '180GSM', 38.0, nan, '人丝粘麻变斜', '若芷麻™', '麻调')"
小香风是非常经典的时尚组织，近几年又在国内的时尚圈里面流行开来。传统的小香风都是用涤纶材料为主，拥有美观性能，但是舒适性能会收到影响，醋酸素材的加入，刚好解决了此类问题。,"西装,套装","('YG20-23876', '醋酸60% 聚酯40%', '148CM', '280GSM', 51.0, nan, '醋酸仿麻小香风', '若芷麻™', '麻调')"
